Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Somatom Force,Sn150,32x0.6,19.2,64x0.6,1.0051,1.3799,,,,,,,
Somatom Force,Sn150,32x0.6,19.2,64x0.6,1.0045,1.3793,,,,,,,
Somatom Force,Sn150,48x0.6,28.8,96x0.6,1.0050,1.3755,,,,,,,
Somatom Force,Sn150,64x0.6,38.4,128x0.6,1.0053,1.3778,,,,,,,
Somatom Force,Sn150,96x0.6,57.6,192x0.6,1.0037,1.3839,,,,,,,
Somatom Force,Sn150,24x1.2,28.8,24x1.2,1.0051,1.3836,,,,,,,
Somatom Force,Sn150,48x1.2,57.6,48x1.2,1.0037,1.3839,,,,,,,
Somatom Force,80/Sn150,32x0.6,19.2,64x0.6,,1.6994,,,,,,,
Somatom Force,80/Sn150,64x0.6,38.4,128x0.6,,1.6975,,,,,,,
Somatom Force,80/Sn150,96x0.6,57.6,192x0.6,,1.7378,,,,,,,
Somatom Force,90/Sn150,32x0.6,19.2,64x0.6,,1.6792,,,,,,,
Somatom Force,90/Sn150,64x0.6,38.4,128x0.6,,1.6571,,,,,,,
Somatom Force,90/Sn150,96x0.6,57.6,192x0.6,,1.6726,,,,,,,
Somatom Force,100/Sn150,32x0.6,19.2,64x0.6,,1.6912,,,,,,,
Somatom Force,100/Sn150,64x0.6,38.4,128x0.6,,1.6095,,,,,,,
Somatom Force,100/Sn150,96x0.6,57.6,192x0.6,,1.6803,,,,,,,
Somatom Flash (B),70,2x1,2,2x1,,2.4286,,,,,,,
Somatom Flash (B),70,6x0.6,3.6,6x0.6,,2.2500,,,,,,,
Somatom Flash (B),70,8x0.6,2.4,16x0.6,,2.4167,,,,,,,
Somatom Flash (B),70,1x5,5,1x5,,2.5000,,,,,,,
Somatom Flash (B),70,10x0.6,6,20x0.6,,2.2222,,,,,,,
Somatom Flash (B),70,1x10,10,1x10,,2.5000,,,,,,,
Somatom Flash (B),70,12x1.2,14.4,12x1.2,,2.5000,,,,,,,
Somatom Flash (B),70,20x0.6,12,40x0.6,,2.3333,,,,,,,
Somatom Flash (B),70,32x0.6,19.2,64x0.6,,2.3750,,,,,,,
Somatom Flash (B),70,32x1.2,38.4,32x1.2,,2.4286,,,,,,,
Somatom Flash (B),70,64x0.6,38.4,128x0.6,,2.4286,,,,,,,
Somatom Flash (B),80,2x1,2,2x1,,2.1667,,,,,,,
Somatom Flash (B),80,6x0.6,3.6,6x0.6,,2.1500,,,,,,,
Somatom Flash (B),80,8x0.6,2.4,16x0.6,,2.1429,,,,,,,
Somatom Flash (B),80,1x5,5,1x5,,2.1818,,,,,,,
Somatom Flash (B),80,10x0.6,6,20x0.6,,2.0667,,,,,,,
Somatom Flash (B),80,1x10,10,1x10,,2.1818,,,,,,,
Somatom Flash (B),80,12x1.2,14.4,12x1.2,,2.1429,,,,,,,
Somatom Flash (B),80,20x0.6,12,40x0.6,,2.1333,,,,,,,
Somatom Flash (B),80,32x0.6,19.2,64x0.6,,2.0714,,,,,,,
Somatom Flash (B),80,32x1.2,38.4,32x1.2,,2.1667,,,,,,,
Somatom Flash (B),80,64x0.6,38.4,128x0.6,,2.1667,,,,,,,
Somatom Flash (B),100,2x1,2,2x1,,1.9259,,,,,,,
Somatom Flash (B),100,6x0.6,3.6,6x0.6,,1.9091,,,,,,,
Somatom Flash (B),100,8x0.6,2.4,16x0.6,,1.8936,,,,,,,
Somatom Flash (B),100,1x5,5,1x5,,1.8400,,,,,,,
Somatom Flash (B),100,10x0.6,6,20x0.6,,1.8485,,,,,,,
Somatom Flash (B),100,1x10,10,1x10,,1.8400,,,,,,,
Somatom Flash (B),100,12x1.2,14.4,12x1.2,,1.8750,,,,,,,
Somatom Flash (B),100,20x0.6,12,40x0.6,,1.9091,,,,,,,
Somatom Flash (B),100,32x0.6,19.2,64x0.6,,1.8710,,,,,,,
Somatom Flash (B),100,32x1.2,38.4,32x1.2,,1.8571,,,,,,,
Somatom Flash (B),100,64x0.6,38.4,128x0.6,,1.8889,,,,,,,
Somatom Flash (B),120,2x1,2,2x1,,1.7660,,,,,,,
Somatom Flash (B),120,6x0.6,3.6,6x0.6,,1.7632,,,,,,,
Somatom Flash (B),120,8x0.6,2.4,16x0.6,,1.7750,,,,,,,
Somatom Flash (B),120,1x5,5,1x5,,1.7619,,,,,,,
Somatom Flash (B),120,10x0.6,6,20x0.6,,1.7679,,,,,,,
Somatom Flash (B),120,1x10,10,1x10,,1.7619,,,,,,,
Somatom Flash (B),120,12x1.2,14.4,12x1.2,,1.7778,,,,,,,
Somatom Flash (B),120,20x0.6,12,40x0.6,,1.7544,,,,,,,
Somatom Flash (B),120,32x0.6,19.2,64x0.6,,1.7736,,,,,,,
Somatom Flash (B),120,32x1.2,38.4,32x1.2,,1.7660,,,,,,,
Somatom Flash (B),120,64x0.6,38.4,128x0.6,,1.7826,,,,,,,
Somatom Flash (B),140,2x1,2,2x1,,1.6986,,,,,,,
Somatom Flash (B),140,6x0.6,3.6,6x0.6,,1.7034,,,,,,,
Somatom Flash (B),140,8x0.6,2.4,16x0.6,,1.6825,,,,,,,
Somatom Flash (B),140,1x5,5,1x5,,1.6818,,,,,,,
Somatom Flash (B),140,10x0.6,6,20x0.6,,1.6897,,,,,,,
Somatom Flash (B),140,1x10,10,1x10,,1.6818,,,,,,,
Somatom Flash (B),140,12x1.2,14.4,12x1.2,,1.7024,,,,,,,
Somatom Flash (B),140,20x0.6,12,40x0.6,,1.6854,,,,,,,
Somatom Flash (B),140,32x0.6,19.2,64x0.6,,1.6867,,,,,,,
Somatom Flash (B),140,32x1.2,38.4,32x1.2,,1.7123,,,,,,,
Somatom Flash (B),140,64x0.6,38.4,128x0.6,,1.6944,,,,,,,
Somatom Flash (B),Sn140,2x1,2,2x1,,1.4800,,,,,,,
Somatom Flash (B),Sn140,6x0.6,3.6,6x0.6,,1.4634,,,,,,,
Somatom Flash (B),Sn140,8x0.6,2.4,16x0.6,,1.4651,,,,,,,
Somatom Flash (B),Sn140,1x5,5,1x5,,1.4348,,,,,,,
Somatom Flash (B),Sn140,10x0.6,6,20x0.6,,1.4667,,,,,,,
Somatom Flash (B),Sn140,1x10,10,1x10,,1.4348,,,,,,,
Somatom Flash (B),Sn140,12x1.2,14.4,12x1.2,,1.4483,,,,,,,
Somatom Flash (B),Sn140,20x0.6,12,40x0.6,,1.4516,,,,,,,
Somatom Flash (B),Sn140,32x0.6,19.2,64x0.6,,1.4643,,,,,,,
Somatom Flash (B),Sn140,32x1.2,38.4,32x1.2,,1.4800,,,,,,,
Somatom Flash (B),Sn140,64x0.6,38.4,128x0.6,,1.4400,,,,,,,
Somatom Flash (A),70,2x1,2,2x1,1.1379,2.1667,,,,,,,
Somatom Flash (A),70,6x0.6,3.6,6x0.6,1.1277,2.1000,,,,,,,
Somatom Flash (A),70,8x0.6,2.4,16x0.6,1.1200,2.0000,,,,,,,
Somatom Flash (A),70,1x5,5,1x5,1.1154,1.8333,,,,,,,
Somatom Flash (A),70,10x0.6,6,20x0.6,1.1471,1.8750,,,,,,,
Somatom Flash (A),70,1x10,10,1x10,1.1154,1.8333,,,,,,,
Somatom Flash (A),70,12x1.2,14.4,12x1.2,1.1515,2.1429,,,,,,,
Somatom Flash (A),70,20x0.6,12,40x0.6,1.1429,1.8750,,,,,,,
Somatom Flash (A),70,32x0.6,19.2,64x0.6,1.1212,2.0000,,,,,,,
Somatom Flash (A),70,32x1.2,38.4,32x1.2,1.1379,2.1667,,,,,,,
Somatom Flash (A),70,64x0.6,38.4,128x0.6,1.1429,2.0000,,,,,,,
Somatom Flash (A),80,2x1,2,2x1,1.0870,1.8182,,,,,,,
Somatom Flash (A),80,6x0.6,3.6,6x0.6,1.1081,1.7778,,,,,,,
Somatom Flash (A),80,8x0.6,2.4,16x0.6,1.0886,1.7895,,,,,,,
Somatom Flash (A),80,1x5,5,1x5,1.0976,1.8000,,,,,,,
Somatom Flash (A),80,10x0.6,6,20x0.6,1.1111,1.8462,,,,,,,
Somatom Flash (A),80,1x10,10,1x10,1.0976,1.8000,,,,,,,
Somatom Flash (A),80,12x1.2,14.4,12x1.2,1.0943,1.7692,,,,,,,
Somatom Flash (A),80,20x0.6,12,40x0.6,1.0893,1.8462,,,,,,,
Somatom Flash (A),80,32x0.6,19.2,64x0.6,1.0962,1.8333,,,,,,,
Somatom Flash (A),80,32x1.2,38.4,32x1.2,1.1087,1.8182,,,,,,,
Somatom Flash (A),80,64x0.6,38.4,128x0.6,1.1111,1.8182,,,,,,,
Somatom Flash (A),100,2x1,2,2x1,1.0652,1.6800,,,,,,,
Somatom Flash (A),100,6x0.6,3.6,6x0.6,1.0671,1.6585,,,,,,,
Somatom Flash (A),100,8x0.6,2.4,16x0.6,1.0633,1.6744,,,,,,,
Somatom Flash (A),100,1x5,5,1x5,1.0732,1.6522,,,,,,,
Somatom Flash (A),100,10x0.6,6,20x0.6,1.0642,1.6667,,,,,,,
Somatom Flash (A),100,1x10,10,1x10,1.0732,1.6522,,,,,,,
Somatom Flash (A),100,12x1.2,14.4,12x1.2,1.0660,1.6552,,,,,,,
Somatom Flash (A),100,20x0.6,12,40x0.6,1.0625,1.6452,,,,,,,
Somatom Flash (A),100,32x0.6,19.2,64x0.6,1.0577,1.6207,,,,,,,
Somatom Flash (A),100,32x1.2,38.4,32x1.2,1.0652,1.6800,,,,,,,
Somatom Flash (A),100,64x0.6,38.4,128x0.6,1.0549,1.6400,,,,,,,
Somatom Flash (A),120,2x1,2,2x1,1.0473,1.5682,,,,,,,
Somatom Flash (A),120,6x0.6,3.6,6x0.6,1.0502,1.5634,,,,,,,
Somatom Flash (A),120,8x0.6,2.4,16x0.6,1.0472,1.5600,,,,,,,
Somatom Flash (A),120,1x5,5,1x5,1.0451,1.5897,,,,,,,
Somatom Flash (A),120,10x0.6,6,20x0.6,1.0455,1.5577,,,,,,,
Somatom Flash (A),120,1x10,10,1x10,1.0451,1.5897,,,,,,,
Somatom Flash (A),120,12x1.2,14.4,12x1.2,1.0471,1.5800,,,,,,,
Somatom Flash (A),120,20x0.6,12,40x0.6,1.0503,1.5660,,,,,,,
Somatom Flash (A),120,32x0.6,19.2,64x0.6,1.0479,1.5714,,,,,,,
Somatom Flash (A),120,32x1.2,38.4,32x1.2,1.0541,1.5682,,,,,,,
Somatom Flash (A),120,64x0.6,38.4,128x0.6,1.0479,1.5581,,,,,,,
Somatom Flash (A),140,2x1,2,2x1,1.0409,1.5385,,,,,,,
Somatom Flash (A),140,6x0.6,3.6,6x0.6,1.0421,1.5283,,,,,,,
Somatom Flash (A),140,8x0.6,2.4,16x0.6,1.0397,1.5268,,,,,,,
Somatom Flash (A),140,1x5,5,1x5,1.0406,1.5254,,,,,,,
Somatom Flash (A),140,10x0.6,6,20x0.6,1.0382,1.5128,,,,,,,
Somatom Flash (A),140,1x10,10,1x10,1.0406,1.5254,,,,,,,
Somatom Flash (A),140,12x1.2,14.4,12x1.2,1.0395,1.5333,,,,,,,
Somatom Flash (A),140,20x0.6,12,40x0.6,1.0412,1.5316,,,,,,,
Somatom Flash (A),140,32x0.6,19.2,64x0.6,1.0402,1.5135,,,,,,,
Somatom Flash (A),140,32x1.2,38.4,32x1.2,1.0407,1.5152,,,,,,,
Somatom Flash (A),140,64x0.6,38.4,128x0.6,1.0367,1.5077,,,,,,,
Somatom Flash (A),80/Sn140,32x0.6,19.2,64x0.6,,1.7183,,,,,,,
Somatom Flash (A),100/Sn140,32x0.6,19.2,64x0.6,,1.6565,,,,,,,
Somatom Flash (A),140/80,32x0.6,19.2,64x0.6,,1.8719,,,,,,,
Somatom Flash (B),Sn140,2x1,2,2x1,1.0000,,,,,,,,
Somatom Flash (B),Sn140,6x0.6,3.6,6x0.6,1.0094,,,,,,,,
Somatom Flash (B),Sn140,8x0.6,2.4,16x0.6,1.0088,,,,,,,,
Somatom Flash (B),Sn140,1x5,5,1x5,1.0000,,,,,,,,
Somatom Flash (B),Sn140,10x0.6,6,20x0.6,1.0128,,,,,,,,
Somatom Flash (B),Sn140,1x10,10,1x10,1.0000,,,,,,,,
Somatom Flash (B),Sn140,12x1.2,14.4,12x1.2,1.0133,,,,,,,,
Somatom Flash (B),Sn140,20x0.6,12,40x0.6,1.0000,,,,,,,,
Somatom Flash (B),Sn140,32x0.6,19.2,64x0.6,1.0135,,,,,,,,
Somatom Flash (B),Sn140,32x1.2,38.4,32x1.2,1.0000,,,,,,,,
Somatom Flash (B),Sn140,64x0.6,38.4,128x0.6,1.0000,,,,,,,,
Definition AS,70,2x1,2,2x1,1.0538,1.8525,,,,,,,
Definition AS,70,6x0.6,3.6,6x0.6,1.0498,1.8485,,,,,,,
Definition AS,70,8x0.6,4.8,8x0.6,1.0490,1.8462,,,,,,,
Definition AS,70,8x0.6,4.8,16x0.6,1.0437,1.8411,,,,,,,
Definition AS,70,1x5,5,1x5,1.0513,1.8364,,,,,,,
Definition AS,70,10x0.6,6,20x0.6,1.0442,1.8514,,,,,,,
Definition AS,70,6x1.2,7.2,6x1.2,1.0152,1.8481,,,,,,,
Definition AS,70,1x10,10,1x10,1.0513,1.8364,,,,,,,
Definition AS,70,20x0.6,12,40x0.6,1.0464,1.8667,,,,,,,
Definition AS,70,12x1.2,14.4,12x1.2,1.0500,1.8571,,,,,,,
Definition AS,70,32x0.6,38.4,32x1.2,1.0465,1.8689,,,,,,,
Definition AS,70,64x0.6,38.4,128x0.6,1.0488,1.8548,,,,,,,
Definition AS,80,2x1,2,2x1,1.0431,1.7383,,,,,,,
Definition AS,80,6x0.6,3.6,6x0.6,1.0444,1.7399,,,,,,,
Definition AS,80,8x0.6,4.8,8x0.6,1.0434,1.7421,,,,,,,
Definition AS,80,8x0.6,4.8,16x0.6,1.0304,1.7377,,,,,,,
Definition AS,80,1x5,5,1x5,1.0427,1.7396,,,,,,,
Definition AS,80,10x0.6,6,20x0.6,1.0299,1.7402,,,,,,,
Definition AS,80,6x1.2,7.2,6x1.2,1.0427,1.7391,,,,,,,
Definition AS,80,1x10,10,1x10,1.0427,1.7396,,,,,,,
Definition AS,80,20x0.6,12,40x0.6,1.0293,1.7442,,,,,,,
Definition AS,80,12x1.2,14.4,12x1.2,1.0437,1.7398,,,,,,,
Definition AS,80,32x0.6,38.4,32x1.2,1.0294,1.7315,,,,,,,
Definition AS,80,64x0.6,38.4,128x0.6,1.0435,1.7383,,,,,,,
Definition AS,100,2x1,2,2x1,1.0249,1.6049,,,,,,,
Definition AS,100,6x0.6,3.6,6x0.6,1.0249,1.6041,,,,,,,
Definition AS,100,8x0.6,4.8,8x0.6,1.0255,1.6050,,,,,,,
Definition AS,100,8x0.6,4.8,16x0.6,1.0163,1.6110,,,,,,,
Definition AS,100,1x5,5,1x5,1.0251,1.6055,,,,,,,
Definition AS,100,10x0.6,6,20x0.6,1.0157,1.6082,,,,,,,
Definition AS,100,6x1.2,7.2,6x1.2,1.0248,1.6019,,,,,,,
Definition AS,100,1x10,10,1x10,1.0251,1.6055,,,,,,,
Definition AS,100,20x0.6,12,40x0.6,1.0164,1.6115,,,,,,,
Definition AS,100,12x1.2,14.4,12x1.2,1.0257,1.6036,,,,,,,
Definition AS,100,32x0.6,38.4,32x1.2,1.0248,1.6066,,,,,,,
Definition AS,100,64x0.6,38.4,128x0.6,1.0163,1.6082,,,,,,,
Definition AS,120,2x1,2,2x1,1.0188,1.5444,,,,,,,
Definition AS,120,6x0.6,3.6,6x0.6,1.0192,1.5440,,,,,,,
Definition AS,120,8x0.6,4.8,8x0.6,1.0194,1.5447,,,,,,,
Definition AS,120,8x0.6,4.8,16x0.6,1.0123,1.5400,,,,,,,
Definition AS,120,1x5,5,1x5,1.0193,1.5443,,,,,,,
Definition AS,120,10x0.6,6,20x0.6,1.0124,1.6020,,,,,,,
Definition AS,120,6x1.2,7.2,6x1.2,1.0190,1.5453,,,,,,,
Definition AS,120,1x10,10,1x10,1.0193,1.5443,,,,,,,
Definition AS,120,20x0.6,12,40x0.6,1.0128,1.5396,,,,,,,
Definition AS,120,12x1.2,14.4,12x1.2,1.0195,1.5436,,,,,,,
Definition AS,120,32x0.6,38.4,32x1.2,1.0187,1.5442,,,,,,,
Definition AS,120,64x0.6,38.4,128x0.6,1.0127,1.5423,,,,,,,
Definition AS,140,2x1,2,2x1,1.0178,1.5129,,,,,,,
Definition AS,140,6x0.6,3.6,6x0.6,1.0177,1.5122,,,,,,,
Definition AS,140,8x0.6,4.8,8x0.6,1.0176,1.5123,,,,,,,
Definition AS,140,8x0.6,4.8,16x0.6,1.0122,1.5203,,,,,,,
Definition AS,140,1x5,5,1x5,1.0176,1.5127,,,,,,,
Definition AS,140,10x0.6,6,20x0.6,1.0132,1.5218,,,,,,,
Definition AS,140,6x1.2,7.2,6x1.2,1.0172,1.5124,,,,,,,
Definition AS,140,1x10,10,1x10,1.0176,1.5127,,,,,,,
Definition AS,140,20x0.6,12,40x0.6,1.0133,1.5201,,,,,,,
Definition AS,140,12x1.2,14.4,12x1.2,1.0172,1.5119,,,,,,,
Definition AS,140,32x0.6,38.4,32x1.2,1.0177,1.5121,,,,,,,
Definition AS,140,64x0.6,38.4,128x0.6,1.0133,1.5207,,,,,,,
Naeotom Alpha,90,1x5,5,1x5,1.0435,1.7527,,,,,,,
Naeotom Alpha,90,36x0.2,7.2,36x0.2,1.0434,1.7452,,,,,,,
Naeotom Alpha,90,36x0.4,14.4,36x0.4,1.0437,1.7481,,,,,,,
Naeotom Alpha,90,48x0.4,19.2,48x0.4,1.0428,1.7521,,,,,,,
Naeotom Alpha,90,120x0.2,24,120x0.2,1.0429,1.7488,,,,,,,
Naeotom Alpha,90,72x0.4,28.8,72x0.4,1.0447,1.7544,,,,,,,
Naeotom Alpha,90,96x0.4,38.4,96x0.4,1.0435,1.7500,,,,,,,
Naeotom Alpha,90,144x0.4,57.6,144x0.4,1.0436,1.7500,,,,,,,
Naeotom Alpha,120,1x5,5,1x5,1.0279,1.6175,,,,,,,
Naeotom Alpha,120,36x0.2,7.2,36x0.2,1.0277,1.6144,,,,,,,
Naeotom Alpha,120,36x0.4,14.4,36x0.4,1.0274,1.6165,,,,,,,
Naeotom Alpha,120,48x0.4,19.2,48x0.4,1.0276,1.6165,,,,,,,
Naeotom Alpha,120,120x0.2,24,120x0.2,1.0281,1.6157,,,,,,,
Naeotom Alpha,120,72x0.4,28.8,72x0.4,1.0282,1.6150,,,,,,,
Naeotom Alpha,120,96x0.4,38.4,96x0.4,1.0281,1.6178,,,,,,,
Naeotom Alpha,120,144x0.4,57.6,144x0.4,1.0274,1.6155,,,,,,,
Naeotom Alpha,140,1x5,5,1x5,1.0220,1.5710,,,,,,,
Naeotom Alpha,140,36x0.2,7.2,36x0.2,1.0222,1.5702,,,,,,,
Naeotom Alpha,140,36x0.4,14.4,36x0.4,1.0220,1.5708,,,,,,,
Naeotom Alpha,140,48x0.4,19.2,48x0.4,1.0186,1.5708,,,,,,,
Naeotom Alpha,140,120x0.2,24,120x0.2,1.0219,1.5699,,,,,,,
Naeotom Alpha,140,72x0.4,28.8,72x0.4,1.0217,1.5707,,,,,,,
Naeotom Alpha,140,96x0.4,38.4,96x0.4,1.0218,1.5709,,,,,,,
Naeotom Alpha,140,144x0.4,57.6,144x0.4,1.0218,1.5710,,,,,,,
Naeotom Alpha,Sn100,1x5,5,1x5,1.0000,1.4717,,,,,,,
Naeotom Alpha,Sn100,36x0.2,7.2,36x0.2,1.0000,1.5000,,,,,,,
Naeotom Alpha,Sn100,36x0.4,14.4,36x0.4,1.0094,1.4795,,,,,,,
Naeotom Alpha,Sn100,48x0.4,19.2,48x0.4,1.0000,1.4925,,,,,,,
Naeotom Alpha,Sn100,120x0.2,24,120x0.2,1.0000,1.4746,,,,,,,
Naeotom Alpha,Sn100,72x0.4,28.8,72x0.4,1.0000,1.4769,,,,,,,
Naeotom Alpha,Sn100,96x0.4,38.4,96x0.4,1.0000,1.4754,,,,,,,
Naeotom Alpha,Sn100,144x0.4,57.6,144x0.4,1.0000,1.4655,,,,,,,
Naeotom Alpha,Sn140,1x5,5,1x5,1.0100,1.4425,,,,,,,
Naeotom Alpha,Sn140,36x0.2,7.2,36x0.2,1.0099,1.4421,,,,,,,
Naeotom Alpha,Sn140,36x0.4,14.4,36x0.4,1.0096,1.4423,,,,,,,
Naeotom Alpha,Sn140,48x0.4,19.2,48x0.4,1.0104,1.4394,,,,,,,
Naeotom Alpha,Sn140,120x0.2,24,120x0.2,1.0104,1.4422,,,,,,,
Naeotom Alpha,Sn140,72x0.4,28.8,72x0.4,1.0095,1.4404,,,,,,,
Naeotom Alpha,Sn140,96x0.4,38.4,96x0.4,1.0100,1.4427,,,,,,,
Naeotom Alpha,Sn140,144x0.4,57.6,144x0.4,1.0106,1.4413,,,,,,,
Somatom Drive,70,2x1,2,2x1,1.0467,1.8103,,,,,,,
Somatom Drive,70,6x0.6,3.6,6x0.6,1.0432,1.8085,,,,,,,
Somatom Drive,70,8x0.6,4.8,16x0.6,1.0387,1.8081,,,,,,,
Somatom Drive,70,1x5,5,1x5,1.0433,1.8077,,,,,,,
Somatom Drive,70,10x0.6,6,20x0.6,1.0395,1.7971,,,,,,,
Somatom Drive,70,1x10,10,1x10,1.0433,1.8077,,,,,,,
Somatom Drive,70,12x1.2,14.4,12x1.2,1.0439,1.8333,,,,,,,
Somatom Drive,70,20x0.6,12,40x0.6,1.0387,1.8143,,,,,,,
Somatom Drive,70,32x0.6,19.2,64x0.6,1.0420,1.8281,,,,,,,
Somatom Drive,70,12x1.2,14.4,12x1.2,1.0425,1.8103,,,,,,,
Somatom Drive,70,64x0.6,38.4,128x0.6,1.0397,1.8070,,,,,,,
Somatom Drive,80,2x1,2,2x1,1.0291,1.7212,,,,,,,
Somatom Drive,80,6x0.6,3.6,6x0.6,1.0315,1.7160,,,,,,,
Somatom Drive,80,8x0.6,4.8,16x0.6,1.0256,1.6983,,,,,,,
Somatom Drive,80,1x5,5,1x5,1.0298,1.7021,,,,,,,
Somatom Drive,80,10x0.6,6,20x0.6,1.0267,1.7016,,,,,,,
Somatom Drive,80,1x10,10,1x10,1.0298,1.7021,,,,,,,
Somatom Drive,80,12x1.2,14.4,12x1.2,1.0295,1.7167,,,,,,,
Somatom Drive,80,20x0.6,12,40x0.6,1.0262,1.7063,,,,,,,
Somatom Drive,80,32x0.6,19.2,64x0.6,1.0284,1.7155,,,,,,,
Somatom Drive,80,12x1.2,14.4,12x1.2,1.0315,1.7143,,,,,,,
Somatom Drive,80,64x0.6,38.4,128x0.6,1.0272,1.6990,,,,,,,
Somatom Drive,90,2x1,2,2x1,1.0231,1.6446,,,,,,,
Somatom Drive,90,6x0.6,3.6,6x0.6,1.0194,1.6493,,,,,,,
Somatom Drive,90,8x0.6,4.8,16x0.6,1.0192,1.6338,,,,,,,
Somatom Drive,90,1x5,5,1x5,1.0221,1.6443,,,,,,,
Somatom Drive,90,10x0.6,6,20x0.6,1.0181,1.6345,,,,,,,
Somatom Drive,90,1x10,10,1x10,1.0221,1.6443,,,,,,,
Somatom Drive,90,12x1.2,14.4,12x1.2,1.0230,1.6440,,,,,,,
Somatom Drive,90,20x0.6,12,40x0.6,1.0177,1.6400,,,,,,,
Somatom Drive,90,32x0.6,19.2,64x0.6,1.0207,1.6378,,,,,,,
Somatom Drive,90,12x1.2,14.4,12x1.2,1.0213,1.6506,,,,,,,
Somatom Drive,90,64x0.6,38.4,128x0.6,1.0168,1.6380,,,,,,,
Somatom Drive,100,2x1,2,2x1,1.0168,1.6008,,,,,,,
Somatom Drive,100,6x0.6,3.6,6x0.6,1.0222,1.6026,,,,,,,
Somatom Drive,100,8x0.6,4.8,16x0.6,1.0140,1.5921,,,,,,,
Somatom Drive,100,1x5,5,1x5,1.0174,1.6056,,,,,,,
Somatom Drive,100,10x0.6,6,20x0.6,1.0091,1.5957,,,,,,,
Somatom Drive,100,1x10,10,1x10,1.0174,1.6056,,,,,,,
Somatom Drive,100,12x1.2,14.4,12x1.2,1.0177,1.6081,,,,,,,
Somatom Drive,100,20x0.6,12,40x0.6,1.0099,1.5903,,,,,,,
Somatom Drive,100,32x0.6,19.2,64x0.6,1.0151,1.5962,,,,,,,
Somatom Drive,100,12x1.2,14.4,12x1.2,1.0179,1.6025,,,,,,,
Somatom Drive,100,64x0.6,38.4,128x0.6,1.0122,1.5940,,,,,,,
Somatom Drive,110,2x1,2,2x1,1.0179,1.5732,,,,,,,
Somatom Drive,110,6x0.6,3.6,6x0.6,1.0166,1.5744,,,,,,,
Somatom Drive,110,8x0.6,4.8,16x0.6,1.0104,1.5605,,,,,,,
Somatom Drive,110,1x5,5,1x5,1.0099,1.5748,,,,,,,
Somatom Drive,110,10x0.6,6,20x0.6,1.0075,1.5590,,,,,,,
Somatom Drive,110,1x10,10,1x10,1.0099,1.5748,,,,,,,
Somatom Drive,110,12x1.2,14.4,12x1.2,1.0155,1.5756,,,,,,,
Somatom Drive,110,20x0.6,12,40x0.6,1.0148,1.5617,,,,,,,
Somatom Drive,110,32x0.6,19.2,64x0.6,1.0080,1.5656,,,,,,,
Somatom Drive,110,12x1.2,14.4,12x1.2,1.0088,1.5745,,,,,,,
Somatom Drive,110,64x0.6,38.4,128x0.6,1.0091,1.5604,,,,,,,
Somatom Drive,120,2x1,2,2x1,1.0143,1.5474,,,,,,,
Somatom Drive,120,6x0.6,3.6,6x0.6,1.0132,1.5497,,,,,,,
Somatom Drive,120,8x0.6,4.8,16x0.6,1.0084,1.5353,,,,,,,
Somatom Drive,120,1x5,5,1x5,1.0079,1.5462,,,,,,,
Somatom Drive,120,10x0.6,6,20x0.6,1.0060,1.5369,,,,,,,
Somatom Drive,120,1x10,10,1x10,1.0079,1.5462,,,,,,,
Somatom Drive,120,12x1.2,14.4,12x1.2,1.0124,1.5473,,,,,,,
Somatom Drive,120,20x0.6,12,40x0.6,1.0118,1.5362,,,,,,,
Somatom Drive,120,32x0.6,19.2,64x0.6,1.0128,1.5426,,,,,,,
Somatom Drive,120,12x1.2,14.4,12x1.2,1.0071,1.5472,,,,,,,
Somatom Drive,120,64x0.6,38.4,128x0.6,1.0072,1.5361,,,,,,,
Somatom Drive,130,2x1,2,2x1,1.0178,1.5312,,,,,,,
Somatom Drive,130,6x0.6,3.6,6x0.6,1.0146,1.5286,,,,,,,
Somatom Drive,130,8x0.6,4.8,16x0.6,1.0103,1.5215,,,,,,,
Somatom Drive,130,1x5,5,1x5,1.0132,1.5284,,,,,,,
Somatom Drive,130,10x0.6,6,20x0.6,1.0100,1.5183,,,,,,,
Somatom Drive,130,1x10,10,1x10,1.0132,1.5284,,,,,,,
Somatom Drive,130,12x1.2,14.4,12x1.2,1.0154,1.5304,,,,,,,
Somatom Drive,130,20x0.6,12,40x0.6,1.0098,1.5195,,,,,,,
Somatom Drive,130,32x0.6,19.2,64x0.6,1.0106,1.5237,,,,,,,
Somatom Drive,130,12x1.2,14.4,12x1.2,1.0176,1.5311,,,,,,,
Somatom Drive,130,64x0.6,38.4,128x0.6,1.0060,1.5172,,,,,,,
Somatom Drive,140,2x1,2,2x1,1.0099,1.5162,,,,,,,
Somatom Drive,140,6x0.6,3.6,6x0.6,1.0122,1.5143,,,,,,,
Somatom Drive,140,8x0.6,4.8,16x0.6,1.0086,1.5045,,,,,,,
Somatom Drive,140,1x5,5,1x5,1.0110,1.5172,,,,,,,
Somatom Drive,140,10x0.6,6,20x0.6,1.0083,1.5026,,,,,,,
Somatom Drive,140,1x10,10,1x10,1.0110,1.5172,,,,,,,
Somatom Drive,140,12x1.2,14.4,12x1.2,1.0085,1.5127,,,,,,,
Somatom Drive,140,20x0.6,12,40x0.6,1.0081,1.5013,,,,,,,
