Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Confidence 20,120,16x1.2,19.2,16x1.2,1.0116,1.5906,,,,,,,
Confidence 20,140,2x1,2,2x1,1.0075,1.5392,,,,,,,
Confidence 20,140,1x5,5,1x5,1.0074,1.5397,,,,,,,
Confidence 20,140,10x0.6,6,10x0.6,1.0076,1.5387,,,,,,,
Confidence 20,140,6x1.2,7.2,6x1.2,1.0073,1.5400,,,,,,,
Confidence 20,140,1x10,10,1x10,1.0074,1.5397,,,,,,,
Confidence 20,140,20x0.6,12,20x0.6,1.0074,1.5383,,,,,,,
Confidence 20,140,12x1.2,14.4,12x1.2,1.0074,1.5391,,,,,,,
Confidence 20,140,16x1.2,19.2,16x1.2,1.0073,1.5383,,,,,,,
go.Top,70,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,70,1x5,5,1x5,1.0811,1.8889,,,,,,,
go.Top,70,1x10,10,1x10,1.0541,2.1250,,,,,,,
go.Top,70,3x5,15,3x5,1.0811,2.1250,,,,,,,
go.Top,70,64x0.6,38.4,64x0.6,1.0789,1.8889,,,,,,,
go.Top,80,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,80,1x5,5,1x5,1.0526,1.9286,,,,,,,
go.Top,80,1x10,10,1x10,1.0526,1.8571,,,,,,,
go.Top,80,3x5,15,3x5,1.0526,1.8571,,,,,,,
go.Top,80,64x0.6,38.4,64x0.6,1.0508,1.8000,,,,,,,
go.Top,90,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,90,1x5,5,1x5,1.0366,1.7727,,,,,,,
go.Top,90,1x10,10,1x10,1.0370,1.7273,,,,,,,
go.Top,90,3x5,15,3x5,1.0366,1.7273,,,,,,,
go.Top,90,64x0.6,38.4,64x0.6,1.0476,1.7391,,,,,,,
go.Top,100,6x0.6,3.6,6x0.6,1.0000,1.4000,,,,,,,
go.Top,100,1x5,5,1x5,1.0360,1.6875,,,,,,,
go.Top,100,1x10,10,1x10,1.0273,1.6774,,,,,,,
go.Top,100,3x5,15,3x5,1.0364,1.7097,,,,,,,
go.Top,100,64x0.6,38.4,64x0.6,1.0351,1.6875,,,,,,,
go.Top,110,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,110,1x5,5,1x5,1.0352,1.6667,,,,,,,
go.Top,110,1x10,10,1x10,1.0284,1.6429,,,,,,,
go.Top,110,3x5,15,3x5,1.0282,1.6429,,,,,,,
go.Top,110,64x0.6,38.4,64x0.6,1.0342,1.6512,,,,,,,
go.Top,120,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,120,1x5,5,1x5,1.0225,1.6481,,,,,,,
go.Top,120,1x10,10,1x10,1.0227,1.6226,,,,,,,
go.Top,120,3x5,15,3x5,1.0226,1.6111,,,,,,,
go.Top,120,64x0.6,38.4,64x0.6,1.0273,1.6071,,,,,,,
go.Top,130,6x0.6,3.6,6x0.6,,,,,,,,,
go.Top,130,1x5,5,1x5,1.0282,1.6119,,,,,,,
go.Top,130,1x10,10,1x10,1.0238,1.5909,,,,,,,
go.Top,130,3x5,15,3x5,1.0236,1.5909,,,,,,,
go.Top,130,64x0.6,38.4,64x0.6,1.0228,1.6029,,,,,,,
go.Top,140,6x0.6,3.6,6x0.6,1.0156,1.4800,,,,,,,
go.Top,140,1x5,5,1x5,1.0240,1.5926,,,,,,,
go.Top,140,1x10,10,1x10,1.0243,1.5823,,,,,,,
go.Top,140,3x5,15,3x5,1.0201,1.5625,,,,,,,
go.Top,140,64x0.6,38.4,64x0.6,1.0194,1.5663,,,,,,,
Intevo Bold,80,4x0.6,2.4,4x0.6,1.0684,1.8564,,,,,,,
Intevo Bold,80,12x0.6,7.2,12x0.6,1.0649,1.8632,,,,,,,
Intevo Bold,80,16x0.6,9.6,16x0.6,1.0828,1.8571,,,,,,,
Intevo Bold,80,1x10,10,1x10,1.0631,1.8613,,,,,,,
Intevo Bold,80,12x1.2,14.4,12x1.2,1.0679,1.8533,,,,,,,
Intevo Bold,80,2x8,16,2x8,1.0700,1.8519,,,,,,,
Intevo Bold,80,16x1.2,19.2,16x1.2,1.0701,1.9079,,,,,,,
Intevo Bold,110,4x0.6,2.4,4x0.6,1.0361,1.6469,,,,,,,
Intevo Bold,110,12x0.6,7.2,12x0.6,1.0386,1.6602,,,,,,,
Intevo Bold,110,16x0.6,9.6,16x0.6,1.0392,1.6615,,,,,,,
Intevo Bold,110,1x10,10,1x10,1.0386,1.6630,,,,,,,
Intevo Bold,110,12x1.2,14.4,12x1.2,1.0396,1.6519,,,,,,,
Intevo Bold,110,2x8,16,2x8,1.0400,1.6538,,,,,,,
Intevo Bold,110,16x1.2,19.2,16x1.2,1.0396,1.6553,,,,,,,
Intevo Bold,130,4x0.6,2.4,4x0.6,1.0287,1.5887,,,,,,,
Intevo Bold,130,12x0.6,7.2,12x0.6,1.0305,1.5948,,,,,,,
Intevo Bold,130,16x0.6,9.6,16x0.6,1.0310,1.5924,,,,,,,
Intevo Bold,130,1x10,10,1x10,1.0305,1.5934,,,,,,,
Intevo Bold,130,12x1.2,14.4,12x1.2,1.0309,1.5911,,,,,,,
Intevo Bold,130,2x8,16,2x8,1.0305,1.5915,,,,,,,
Intevo Bold,130,16x1.2,19.2,16x1.2,1.0308,1.5928,,,,,,,
Definition Edge,70,2x1,2,2x1,1.0538,1.8525,,,,,,,
Definition Edge,70,6x0.6,3.6,6x0.6,1.0498,1.8485,,,,,,,
Definition Edge,70,8x0.6,4.8,8x0.6,1.0490,1.8462,,,,,,,
Definition Edge,70,8x0.6,4.8,16x0.6,1.0437,1.8411,,,,,,,
Definition Edge,70,1x5,5,1x5,1.0513,1.8364,,,,,,,
Definition Edge,70,10x0.6,6,20x0.6,1.0442,1.8514,,,,,,,
